Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"ANT1,ANT2",320110048,2
C1,302010055,1
C2,302010097,1
C4,302020027,1
C5,302010103,1
"C6,C7",302010138,2
C18,302020003,1
CN2,320110102,1
CT1,302030090,1
CT2,302030053,1
D1,ESDA6V1SC5,1
"D2,D3",1N4148WS,2
D4,304090042,1
"D5,D9",304090043,2
D6,304020021,1
D7,304090044,1
D8,PZ3D4V2H,1
D10,304090045,1
IC1,LM2596SX-5.0/NOPB,1
J1,320010029,1
J4,320030017,1
J5,320120003,1
JP1,320030060,1
K1,311020027,1
L1,LQG15HS22NJ02D,1
L2,303010141,1
R1,301010298,1
R2,301010088,1
R3,301010221,1
R4,301010052,1
R5,301010189,1
R6,301010299,1
"R14,R15",301010090,2
U$1,SIM80868P-SMD-24X24,1
U$23,306030002,1
U1,TXB0104PWR,1
U2,MCP73831T-3ACI/OT,1
U3,310010049,1
